Question,Mode,#Rec,PlanScore,PersonalScore,Lift,Recall,Latency
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",full,7,0.8571428571428571,0.8571428571428571,0.0,0.2727272727272727,54.68s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",noTranscript,7,0.5714285714285714,0.7142857142857143,0.1428571428571429,0.18181818181818182,34.32s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",noPlan,0,0,0,0,0.0,26.47s
"What elective courses should I choose next semester to strengthen my AI foundation, considering the AI courses I have already taken?",question,0,0,0,0,0.0,31.99s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,full,7,0.8571428571428571,1.0,0.1428571428571429,0.2727272727272727,43.47s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,noTranscript,7,0.8571428571428571,0.8571428571428571,0.0,0.2727272727272727,39.66s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,noPlan,4,0.25,0.5,0.25,0.045454545454545456,30.01s
Which data-science-related electives would be most beneficial if I plan to work in quantitative finance?,question,0,0,0,0,0.0,14.05s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,46.46s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",noTranscript,7,1.0,1.0,0.0,0.3181818181818182,32.77s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",noPlan,5,0.2,0.4,0.2,0.045454545454545456,31.68s
"If I want to pursue a master’s degree in Cybersecurity, what courses should I prioritize this year?",question,0,0,0,0,0.0,15.72s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,full,7,0.5714285714285714,1.0,0.4285714285714286,0.18181818181818182,48.18s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,noTranscript,6,0.8333333333333334,1.0,0.16666666666666663,0.22727272727272727,34.30s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,noPlan,4,0.25,0.5,0.25,0.045454545454545456,22.96s
I’m targeting an HCI research internship; which undergraduate courses would make me more competitive?,question,0,0,0,0,0.0,25.27s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,full,7,1.0,1.0,0.0,0.3181818181818182,46.91s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,noTranscript,6,0.8333333333333334,1.0,0.16666666666666663,0.22727272727272727,33.60s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,noPlan,0,0,0,0,0.0,27.07s
Which electives can best prepare me for a Ph.D. track in Machine Learning?,question,0,0,0,0,0.0,14.07s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",full,7,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.13636363636363635,43.21s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",noTranscript,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.045454545454545456,37.12s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",noPlan,0,0,0,0,0.0,27.91s
"Given my current GPA and heavy workload, which relatively lighter courses could help me boost my average?",question,0,0,0,0,0.0,36.24s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,full,7,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.09090909090909091,46.20s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,noTranscript,6,0.5,0.6666666666666666,0.16666666666666663,0.13636363636363635,33.91s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,noPlan,1,0.0,1.0,1.0,0.0,29.51s
What combination of courses this semester would balance difficulty while still keeping me on track to graduate?,question,0,0,0,0,0.0,14.70s
